"Date","Price"
"2019-11-13",82.36
"2019-11-14",82.26
"2019-11-15",81.85
"2019-11-18",82.37
"2019-11-19",82.42
"2019-11-20",81.9
"2019-11-21",82.19
"2019-11-22",82.08
"2019-11-25",81.87
"2019-11-26",82.56
"2019-11-27",82.49
"2019-11-29",82.56
"2019-12-02",82.65
"2019-12-03",82.3
"2019-12-04",82.9
"2019-12-05",83.06
"2019-12-06",83.77
"2019-12-09",83.56
"2019-12-10",83.2
"2019-12-11",83.43
"2019-12-12",83.71
"2019-12-13",84.13
"2019-12-16",83.91
"2019-12-17",83.88
"2019-12-18",83.35
"2019-12-19",83.57
"2019-12-20",84.11
"2019-12-23",83.41
"2019-12-24",83.52
"2019-12-26",83.46
"2019-12-27",83.76
"2019-12-30",83.47
"2019-12-31",83.23
"2020-01-02",83
"2020-01-03",82.58
"2020-01-06",82.67
"2020-01-07",81.62
"2020-01-08",81.72
"2020-01-09",82.14
"2020-01-10",81.73
"2020-01-13",82.21
"2020-01-14",82.42
"2020-01-15",82.89
"2020-01-16",83.23
"2020-01-17",83.44
"2020-01-21",83.85
"2020-01-22",84.5
"2020-01-23",84.51
"2020-01-24",83.79
"2020-01-27",84.03
"2020-01-28",84.37
"2020-01-29",83.9
"2020-01-30",84.82
"2020-01-31",83.55
"2020-02-03",83.62
"2020-02-04",84.19
"2020-02-05",85.05
"2020-02-06",84.89
"2020-02-07",85.26
"2020-02-10",84.97
"2020-02-11",85.16
"2020-02-12",85.3
"2020-02-13",85.95
"2020-02-14",86.27
"2020-02-18",86.39
"2020-02-19",85.73
"2020-02-20",85.61
"2020-02-21",86.13
"2020-02-24",84.35
"2020-02-25",83.22
"2020-02-26",83.29
"2020-02-27",80.38
"2020-02-28",78.07
"2020-03-02",82.55
"2020-03-03",80.94
"2020-03-04",84.41
"2020-03-05",83.04
"2020-03-06",83.2
"2020-03-09",80.85
"2020-03-10",83.02
"2020-03-11",79.83
"2020-03-12",71.73
"2020-03-13",78.98
"2020-03-16",71.89
"2020-03-17",80.76
"2020-03-18",79.62
"2020-03-19",77.6
"2020-03-20",71.43
"2020-03-23",71.94
"2020-03-24",75
"2020-03-25",72.72
"2020-03-26",75.38
"2020-03-27",75.38
"2020-03-30",78.85
"2020-03-31",76.59
"2020-04-01",76.1
"2020-04-02",79.47
"2020-04-03",79.97
"2020-04-06",84.3
"2020-04-07",82.72
"2020-04-08",83.36
"2020-04-09",83.69
"2020-04-13",83.94
"2020-04-14",87.61
"2020-04-15",86.43
"2020-04-16",87.81
"2020-04-17",88.36
"2020-04-20",86.65
"2020-04-21",85.25
"2020-04-22",86.58
"2020-04-23",84.8
"2020-04-24",86.45
"2020-04-27",86.11
"2020-04-28",86.61
"2020-04-29",84.2
"2020-04-30",83.17
"2020-05-01",82.92
"2020-05-04",83.43
"2020-05-05",84.01
"2020-05-06",83.25
"2020-05-07",83.21
"2020-05-08",84.43
"2020-05-11",84.72
"2020-05-12",84.3
"2020-05-13",84.27
"2020-05-14",84.22
"2020-05-15",85.99
"2020-05-18",86.43
"2020-05-19",84.28
"2020-05-20",84.31
"2020-05-21",83.81
"2020-05-22",83.67
"2020-05-26",83.28
"2020-05-27",83.18
"2020-05-28",84.05
"2020-05-29",83.94
"2020-06-01",84.38
"2020-06-02",84.24
"2020-06-03",84.16
"2020-06-04",83.3
"2020-06-05",83.73
"2020-06-08",83.55
"2020-06-09",83.84
"2020-06-10",84.16
"2020-06-11",81.73
"2020-06-12",81.33
"2020-06-15",81.94
"2020-06-16",82.84
"2020-06-17",82.68
"2020-06-18",82.66
"2020-06-19",82.78
"2020-06-22",83.31
"2020-06-23",83.22
"2020-06-24",82.37
"2020-06-25",82.79
"2020-06-26",81.5
"2020-06-29",82.46
"2020-06-30",83.08
"2020-07-01",83.08
"2020-07-02",83.09
"2020-07-06",83.13
"2020-07-07",85.88
"2020-07-08",85.28
"2020-07-09",85.86
"2020-07-10",87.42
"2020-07-13",87.17
"2020-07-14",88.2
"2020-07-15",87.6
"2020-07-16",87.72
"2020-07-17",87.84
"2020-07-20",87.24
"2020-07-21",87.95
"2020-07-22",88.58
"2020-07-23",88.6
"2020-07-24",88.12
"2020-07-27",88.64
"2020-07-28",88.74
"2020-07-29",88.56
"2020-07-30",88.29
"2020-07-31",88.04
"2020-08-03",87.69
"2020-08-04",88.73
"2020-08-05",87.71
"2020-08-06",87.44
"2020-08-07",87.92
"2020-08-10",88.32
"2020-08-11",87.47
"2020-08-12",88.92
"2020-08-13",89.17
"2020-08-14",89.24
"2020-08-17",90.36
